mmsi,vessel_name,imo,vessel_type,closest_time,distance_km,time_difference_min,ais_course,ais_slick_difference_deg,wind_slick_difference_deg,ais_direction_score,wind_score,directional_score,proximity_score,temporal_score,final_attribution_score
367413160,DUSTIN DANOS,IMO8964458,90.0,2018-09-26 03:52:50+00:00,7.648061466255371,631.1666666666666,67.2,13.5,4.5789104925043205,85.0,94.9123216749952,89.9561608374976,69.40775413497852,0.0,58.99994990524069
367582010,MS NORMA LEE,IMO9089396,90.0,2018-09-26 02:49:56+00:00,7.9001723813626645,694.0666666666667,220.7,13.0,4.5789104925043205,85.55555555555556,94.9123216749952,90.23393861527538,68.39931047454935,0.0,58.707683552180136
367659220,LADY JENNIE,IMO8961274,30.0,2018-09-26 17:17:04+00:00,9.98289496554824,173.06666666666666,230.3,3.3999999999999773,4.5789104925043205,96.22222222222224,94.9123216749952,95.56727194860872,60.068420137807045,3.8518518518518507,58.471623713779515
366970330,CHERAMIE BOTRUC 39,IMO9320166,90.0,2018-09-26 23:30:54+00:00,7.36740872680332,546.9,34.4,19.299999999999983,4.5789104925043205,78.55555555555557,94.9123216749952,86.73393861527538,70.53036509278672,0.0,58.160105399475086
366914750,CANDY COTTON,IMO9026497,60.0,2018-09-26 07:41:23+00:00,8.64490069570797,402.6166666666667,73.2,19.5,4.5789104925043205,78.33333333333333,94.9123216749952,86.62282750416426,65.42039721716813,0.0,56.071673804783195
367594510,GRACE,IMO8975809,60.0,2018-09-26 22:41:08+00:00,9.356886636431106,497.1333333333333,216.5,17.19999999999999,4.5789104925043205,80.8888888888889,94.9123216749952,87.90060528194205,62.572453454275575,0.0,55.44360741073729
367669990,CAPT ANDRE,IMO7733187,30.0,2018-09-26 17:31:41+00:00,10.197583119829204,187.68333333333334,220.7,13.0,4.5789104925043205,85.55555555555556,94.9123216749952,90.23393861527538,59.20966752068318,0.0,55.03182637063366
367495070,MISSISSIPPI IV,,30.0,2018-09-26 19:14:35+00:00,10.788910113510424,290.5833333333333,38.7,15.0,4.5789104925043205,83.33333333333334,94.9123216749952,89.12282750416426,56.8443595459583,0.0,53.64125873629927
256317000,LIGARI,IMO9279513,70.0,2018-09-26 14:14:26+00:00,33.703244901841174,9.566666666666666,33.3,20.399999999999977,4.5789104925043205,77.33333333333337,94.9123216749952,86.12282750416429,0.0,94.68518518518519,53.37481121421225
256313000,SEABEE,IMO9698941,70.0,2018-09-26 06:08:18+00:00,11.832124332233402,495.7,63.3,9.600000000000023,4.5789104925043205,89.33333333333331,94.9123216749952,92.12282750416426,52.67150267106639,0.0,53.1721159863425
366968740,NOLA,,60.0,2018-09-26 14:07:29+00:00,33.498447920256226,16.516666666666666,214.6,19.099999999999994,4.5789104925043205,78.77777777777779,94.9123216749952,86.84504972638649,0.0,90.82407407407408,52.69842232532336
367611820,GIS-SEA HORSE,IMO8964496,90.0,2018-09-26 14:45:59+00:00,33.77682174298454,21.983333333333334,213.4,20.299999999999983,4.5789104925043205,77.44444444444446,94.9123216749952,86.17838305971983,0.0,87.78703703703704,51.67249639939743
367187790,SEA DOPHIN,IMO8941121,30.0,2018-09-26 22:10:14+00:00,11.916083443943423,466.23333333333335,217.1,16.599999999999994,4.5789104925043205,81.55555555555556,94.9123216749952,88.23393861527538,52.33566622422631,0.0,51.48222585205092
367330830,ODYSSEA DARWIN,IMO9343120,90.0,2018-09-26 11:28:27+00:00,12.507155812003461,175.55,70.2,16.5,4.5789104925043205,81.66666666666667,94.9123216749952,88.28949417083093,49.97137675198615,2.47222222222222,51.176787840932626
271045704,,,,2018-09-26 14:55:39+00:00,33.671051978770144,31.65,33.7,20.0,4.5789104925043205,77.77777777777779,94.9123216749952,86.34504972638649,0.0,82.41666666666667,50.396570473471506
367095460,MISS DOROTHY,,31.0,2018-09-26 13:42:33+00:00,33.700191636010736,41.45,218.9,14.799999999999983,4.5789104925043205,83.55555555555557,94.9123216749952,89.23393861527538,0.0,76.97222222222221,50.19101491791594
367680870,LUCKY STAR,IMO9242883,30.0,2018-09-26 17:50:04+00:00,11.154338415715873,206.06666666666666,24.1,29.599999999999994,4.5789104925043205,67.11111111111111,94.9123216749952,81.01171639305315,55.3826463371365,0.0,49.8121290083261
367599830,FEDERAL PILOT II,,90.0,2018-09-26 13:47:14+00:00,33.55838553481681,36.766666666666666,34.1,19.599999999999994,4.5789104925043205,78.22222222222223,94.9123216749952,86.56727194860872,0.0,79.57407407407408,49.77481121421224
367740720,COPPER MOUNTAIN,IMO8976607,31.0,2018-09-26 07:41:45+00:00,10.234833822801185,402.25,97.3,43.60000000000002,4.5789104925043205,51.55555555555553,94.9123216749952,73.23393861527536,59.06066470879525,0.0,48.17222524587849
477476200,OSLO VENTURE,IMO9693185,70.0,2018-09-26 15:40:22+00:00,33.61712109714163,76.36666666666666,34.0,19.69999999999999,4.5789104925043205,78.11111111111111,94.9123216749952,86.51171639305315,0.0,57.574074074074076,44.252588991990024
