mmsi,vessel_name,imo,vessel_type,best_time,latitude,longitude,sog,cog,distance_km,time_diff_min,score,closest_distance_km,closest_time
256300000,CMA CGM TANCREDI,IMO9436355,70.0,2018-09-26 06:30:01+00:00,28.77245,-89.30942,20.4,143.0,31.430005682158942,473.98333333333335,18.94244501266034,31.430005682158942,2018-09-26 06:30:01+00:00
311727000,HELGA SPIRIT,IMO9292503,80.0,2018-09-26 22:29:55+00:00,29.00984,-89.34861,14.0,212.1,33.65044996576789,485.9166666666667,19.56226721879901,33.65044996576789,2018-09-26 22:29:55+00:00
538006970,GH SEABISCUIT,IMO9736640,70.0,2018-09-26 06:24:40+00:00,28.77114,-89.412,12.9,139.5,40.58382080732648,479.3333333333333,20.036159858510427,33.72100584215096,2018-09-26 04:58:11+00:00
249745000,SREDNA GORA,IMO9486570,70.0,2018-09-26 06:03:45+00:00,28.77224,-89.34992,11.2,152.6,34.97477535388283,500.25,20.172477535388285,33.77668564484374,2018-09-26 04:24:14+00:00
563450000,TORM ALMENA,IMO9465980,80.0,2018-09-26 06:07:01+00:00,28.77166,-89.38142,11.6,156.9,37.80488265664645,496.98333333333335,20.346599376775757,33.840952575531034,2018-09-26 04:36:22+00:00
367154920,MISS LYNDA,,60.0,2018-09-26 05:59:06+00:00,28.92268,-89.41817,18.4,214.6,38.391800551115814,504.9,20.66918005511158,33.74153153370733,2018-09-26 05:38:54+00:00
367413160,DUSTIN DANOS,IMO8964458,90.0,2018-09-26 04:29:50+00:00,29.00799,-88.96024,9.3,65.5,13.061727348376134,594.1666666666666,21.111728290393167,7.648061466255371,2018-09-26 03:52:50+00:00
367666240,AQUEOS SPLASH,,60.0,2018-09-26 23:16:01+00:00,29.00727,-89.35161,15.4,216.8,33.82731081133022,532.0166666666667,21.11661997002191,33.82731081133022,2018-09-26 23:16:01+00:00
368185000,DEE WHITE,IMO9127227,31.0,2018-09-26 05:12:57+00:00,29.00463,-89.35131,9.5,35.5,33.702335153957236,551.05,21.738566848729057,33.702335153957236,2018-09-26 05:12:57+00:00
636014381,ANNA S,IMO9207778,70.0,2018-09-26 23:21:09+00:00,28.7746,-89.39891,11.5,323.0,39.25603685140656,537.15,21.830603685140655,39.25603685140656,2018-09-26 23:21:09+00:00
548953000,,,,2018-09-26 23:48:14+00:00,28.77133,-89.39204,12.0,331.7,38.7729713641531,564.2333333333333,22.68507491419309,38.7729713641531,2018-09-26 23:48:14+00:00
367150170,CANDY BARREL,IMO9550929,60.0,2018-09-26 03:57:14+00:00,28.84906,-89.22013,21.8,275.8,20.050649876073326,626.7666666666667,22.897287209829557,20.050649876073326,2018-09-26 03:57:14+00:00
368674000,HEIDE MORAN,IMO7420390,31.0,2018-09-26 03:16:49+00:00,29.00937,-89.3484,5.9,35.4,33.613234012715225,667.1833333333333,25.600767845715964,16.075569767470714,2018-09-26 00:00:09+00:00
636016805,MSC NADRIELY,IMO9149328,70.0,2018-09-26 02:53:06+00:00,29.00937,-89.34848,12.4,34.5,33.62053654252799,690.9,26.392053654252795,33.62053654252799,2018-09-26 02:53:06+00:00
367302430,THE SHOOTIST,IMO8036574,30.0,2018-09-26 00:53:48+00:00,29.01,-89.01478,7.6,44.3,11.740228335679838,810.2,28.180689500234653,7.412344061985868,2018-09-26 00:15:16+00:00
366987890,CAPT RUDY,IMO9337420,90.0,2018-09-26 00:52:13+00:00,29.00961,-89.34723,9.6,34.4,33.515700367731235,811.7833333333333,30.411014481217567,33.515700367731235,2018-09-26 00:52:13+00:00
338644000,SOUTHERN QUEST,IMO9222637,90.0,2018-09-26 00:36:10+00:00,28.92372,-89.4184,11.1,215.0,38.42014247598181,827.8333333333334,31.436458692042628,33.77687390678116,2018-09-26 00:02:30+00:00
367353090,SUNSHINE STATE,IMO9408114,80.0,2018-09-26 00:13:19+00:00,29.00637,-89.35127,11.2,35.0,33.76267160724048,850.6833333333333,31.732378271835156,33.76267160724048,2018-09-26 00:13:19+00:00
