mmsi,vessel_name,imo,vessel_type,best_time,distance_km,ais_course,wind_slick_difference_deg,ais_slick_difference_deg,wind_score,ais_score,directional_score,proximity_score,final_attribution_score
367353090,SUNSHINE STATE,IMO9408114,80.0,2018-09-26 00:13:19+00:00,33.76267160724048,35.0,4.5789104925043205,18.69999999999999,94.9123216749952,79.22222222222224,87.06727194860872,0.0,52.24036316916523
338644000,SOUTHERN QUEST,IMO9222637,90.0,2018-09-26 00:36:10+00:00,38.42014247598181,215.0,4.5789104925043205,18.69999999999999,94.9123216749952,79.22222222222224,87.06727194860872,0.0,52.24036316916523
636012767,ASOPOS,IMO9309253,80.0,2018-09-26 21:42:02+00:00,33.78582875078317,215.0,4.5789104925043205,18.69999999999999,94.9123216749952,79.22222222222224,87.06727194860872,0.0,52.24036316916523
367154920,MISS LYNDA,,60.0,2018-09-26 05:59:06+00:00,38.391800551115814,214.6,4.5789104925043205,19.099999999999994,94.9123216749952,78.77777777777779,86.84504972638649,0.0,52.107029835831895
563944000,ALPINE ETERNITY,IMO9430272,80.0,2018-09-26 10:42:40+00:00,33.65463985650717,34.6,4.5789104925043205,19.099999999999994,94.9123216749952,78.77777777777779,86.84504972638649,0.0,52.107029835831895
366968740,NOLA,,60.0,2018-09-26 14:23:57+00:00,36.66990625883778,34.5,4.5789104925043205,19.19999999999999,94.9123216749952,78.66666666666669,86.78949417083095,0.0,52.07369650249857
636016805,MSC NADRIELY,IMO9149328,70.0,2018-09-26 02:53:06+00:00,33.62053654252799,34.5,4.5789104925043205,19.19999999999999,94.9123216749952,78.66666666666669,86.78949417083095,0.0,52.07369650249857
366987890,CAPT RUDY,IMO9337420,90.0,2018-09-26 00:52:13+00:00,33.515700367731235,34.4,4.5789104925043205,19.299999999999983,94.9123216749952,78.55555555555557,86.73393861527538,0.0,52.040363169165225
367599830,FEDERAL PILOT II,,90.0,2018-09-26 13:47:14+00:00,33.55838553481681,34.1,4.5789104925043205,19.599999999999994,94.9123216749952,78.22222222222223,86.56727194860872,0.0,51.94036316916523
310707000,SITEAM DISCOVERER,IMO9326938,80.0,2018-09-26 20:11:10+00:00,33.74534307437034,214.1,4.5789104925043205,19.599999999999994,94.9123216749952,78.22222222222223,86.56727194860872,0.0,51.94036316916523
368042990,,,,2018-09-26 13:45:13+00:00,33.480559648240614,34.0,4.5789104925043205,19.69999999999999,94.9123216749952,78.11111111111111,86.51171639305315,0.0,51.907029835831885
247302400,PANNONIA G,IMO9567946,70.0,2018-09-26 16:16:15+00:00,33.6840107163605,214.0,4.5789104925043205,19.69999999999999,94.9123216749952,78.11111111111111,86.51171639305315,0.0,51.907029835831885
367415160,YELLOWFIN,IMO9565584,31.0,2018-09-26 08:05:56+00:00,33.654191999721654,34.0,4.5789104925043205,19.69999999999999,94.9123216749952,78.11111111111111,86.51171639305315,0.0,51.907029835831885
319602000,STOLT FOCUS,IMO9214305,80.0,2018-09-26 12:05:52+00:00,33.67209659978204,34.0,4.5789104925043205,19.69999999999999,94.9123216749952,78.11111111111111,86.51171639305315,0.0,51.907029835831885
367495070,MISSISSIPPI IV,,30.0,2018-09-26 17:13:36+00:00,38.56686075637284,73.4,4.5789104925043205,19.700000000000017,94.9123216749952,78.11111111111109,86.51171639305315,0.0,51.907029835831885
357759000,LOCH MAREE,IMO9658800,79.0,2018-09-26 19:45:11+00:00,33.721014318639455,213.9,4.5789104925043205,19.799999999999983,94.9123216749952,78.00000000000003,86.4561608374976,0.0,51.87369650249856
563016600,,,,2018-09-26 16:27:09+00:00,33.76272416863659,213.7,4.5789104925043205,20.0,94.9123216749952,77.77777777777779,86.34504972638649,0.0,51.80702983583189
